epoch,acc,loss,time,model
0,0.2126,0.46541281862147715,3.81003999710083,sigmoid
1,0.3193,0.4147404804839928,3.739382743835449,sigmoid
2,0.3783,0.37815959451728237,3.719960927963257,sigmoid
3,0.429,0.3517083401650619,3.731362819671631,sigmoid
4,0.4671,0.3307889892195273,3.730562925338745,sigmoid
5,0.4873,0.3157860723429987,3.761932849884033,sigmoid
6,0.5065,0.3047397877137459,3.747467279434204,sigmoid
7,0.526,0.2952849757054598,3.774489164352417,sigmoid
8,0.5479,0.28561213103216776,3.754804849624634,sigmoid
9,0.5725,0.27562733174151305,3.7234745025634766,sigmoid
10,0.5938,0.2642146567496385,3.723334550857544,sigmoid
0,0.1762,0.47109035624809714,3.756699800491333,sigmoid
1,0.2948,0.4248923067911843,3.7506959438323975,sigmoid
2,0.4104,0.3705045844606934,3.760606527328491,sigmoid
3,0.4714,0.33471200200384243,3.756869316101074,sigmoid
4,0.5199,0.3093229710000105,3.743149757385254,sigmoid
5,0.5762,0.2868396318806877,3.7516608238220215,sigmoid
6,0.6126,0.26738364217927774,3.7430613040924072,sigmoid
7,0.6394,0.2505898864014868,3.735511541366577,sigmoid
8,0.6623,0.2362525175033071,3.7540597915649414,sigmoid
9,0.6875,0.2222271831295855,3.766322374343872,sigmoid
10,0.7229,0.20639967620091343,3.762892007827759,sigmoid
0,0.2576,0.4373283689344616,3.7527546882629395,sigmoid
1,0.3414,0.40411717164069955,3.7690269947052,sigmoid
2,0.4331,0.3634322135155615,3.7257511615753174,sigmoid
3,0.5042,0.32524461088848217,3.733046531677246,sigmoid
4,0.5454,0.3015854556441078,3.732903003692627,sigmoid
5,0.5798,0.2838933189416855,3.736443519592285,sigmoid
6,0.5986,0.2702336746371142,3.7342875003814697,sigmoid
7,0.618,0.25867164153620514,3.7549848556518555,sigmoid
8,0.6358,0.24873968340486904,3.752931594848633,sigmoid
9,0.6503,0.2395352451456099,3.738389492034912,sigmoid
10,0.6676,0.22969371082966492,3.7457499504089355,sigmoid
0,0.2057,0.46485577199706807,3.7337257862091064,sigmoid
1,0.3758,0.3967176130947234,3.736398696899414,sigmoid
2,0.4931,0.33308590555544076,3.76363468170166,sigmoid
3,0.5531,0.3020886486151152,3.7383365631103516,sigmoid
4,0.5896,0.2816379763906669,3.721348762512207,sigmoid
5,0.6143,0.2664677530311978,3.7575125694274902,sigmoid
6,0.6295,0.2549970319131479,3.7501378059387207,sigmoid
7,0.6439,0.2459672673311431,3.7376530170440674,sigmoid
8,0.6534,0.23827936670660602,3.7348315715789795,sigmoid
9,0.6632,0.2311941148608064,3.759303331375122,sigmoid
10,0.6706,0.22534249970469256,3.7643649578094482,sigmoid
0,0.1971,0.4629443943840309,3.719545364379883,sigmoid
1,0.3047,0.42587959463509834,3.719571590423584,sigmoid
2,0.442,0.35958437953299377,3.75656795501709,sigmoid
3,0.5194,0.32072073342278357,3.7385425567626953,sigmoid
4,0.5717,0.2917432344791774,3.725200891494751,sigmoid
5,0.6189,0.26582939326522326,3.7221803665161133,sigmoid
6,0.6582,0.24482918928907757,3.749455690383911,sigmoid
7,0.6822,0.22990807992953424,3.75191068649292,sigmoid
8,0.7006,0.2180489538515291,3.7561631202697754,sigmoid
9,0.7128,0.2091415659336014,3.7457616329193115,sigmoid
10,0.7243,0.20105283455703338,3.7448339462280273,sigmoid
0,0.1949,0.46887789763115373,3.7370083332061768,sigmoid
1,0.2758,0.42537186077411543,3.7292041778564453,sigmoid
2,0.3407,0.40278087608107926,3.722452402114868,sigmoid
3,0.4087,0.3724548526519143,3.7643749713897705,sigmoid
4,0.458,0.34657410482760287,3.7355048656463623,sigmoid
5,0.5131,0.3175488060395082,3.731912136077881,sigmoid
6,0.5413,0.29861834591466474,3.7441771030426025,sigmoid
7,0.5603,0.28562060754973034,3.772549867630005,sigmoid
8,0.5828,0.2745526687234068,3.736368179321289,sigmoid
9,0.6179,0.2589163138275778,3.7482643127441406,sigmoid
10,0.6567,0.2395300353280898,3.748847723007202,sigmoid
0,0.2826,0.4378614082902376,3.77236008644104,sigmoid
1,0.3851,0.3806926445543379,3.754411220550537,sigmoid
2,0.4628,0.3443479447683511,3.741588592529297,sigmoid
3,0.5269,0.3116046241064981,3.7349908351898193,sigmoid
4,0.5756,0.28526796234064866,3.7497737407684326,sigmoid
5,0.6188,0.2624572679715824,3.7498817443847656,sigmoid
6,0.6523,0.24348988896593768,3.734539031982422,sigmoid
7,0.6762,0.22767980181209982,3.7210166454315186,sigmoid
8,0.7031,0.2143945927032807,3.7556138038635254,sigmoid
9,0.7178,0.2035893874862735,3.7584404945373535,sigmoid
10,0.7309,0.19444516555321312,3.734606981277466,sigmoid
0,0.3035,0.4275879465906091,3.741666793823242,sigmoid
1,0.3878,0.3777727459877788,3.75738787651062,sigmoid
2,0.4366,0.34753725108029737,3.7555274963378906,sigmoid
3,0.478,0.3271906533419861,3.7391111850738525,sigmoid
4,0.5203,0.3091695339441029,3.7697246074676514,sigmoid
5,0.5538,0.29318705591164823,3.755017042160034,sigmoid
6,0.5698,0.2815619080671805,3.722667694091797,sigmoid
7,0.5853,0.2718966361397366,3.7337567806243896,sigmoid
8,0.592,0.26469240060799193,3.7482047080993652,sigmoid
9,0.5988,0.2583251716025532,3.753657817840576,sigmoid
10,0.6079,0.252900776503047,3.7196757793426514,sigmoid
0,0.2673,0.43084894756097536,3.732217788696289,sigmoid
1,0.3919,0.37988059234909377,3.744234800338745,sigmoid
2,0.4989,0.3347876865232923,3.7799527645111084,sigmoid
3,0.5709,0.29388946641099173,3.722548723220825,sigmoid
4,0.612,0.26905488440331965,3.720918893814087,sigmoid
5,0.6394,0.2512937104847893,3.747016191482544,sigmoid
6,0.6691,0.23444855956905344,3.7386722564697266,sigmoid
7,0.7215,0.21028654243829956,3.7247812747955322,sigmoid
8,0.7511,0.19227556379168703,3.7274668216705322,sigmoid
9,0.7687,0.18001099485335295,3.753814697265625,sigmoid
10,0.7861,0.16989198499186173,3.7441298961639404,sigmoid
0,0.2678,0.4429094283319212,3.7360987663269043,sigmoid
1,0.3988,0.37847107543718056,3.75018310546875,sigmoid
2,0.5088,0.3272480323498036,3.864240884780884,sigmoid
3,0.5536,0.2965237211174105,3.877293348312378,sigmoid
4,0.5936,0.2762024342428515,3.8497414588928223,sigmoid
5,0.6318,0.2590309456273132,3.8058621883392334,sigmoid
6,0.6703,0.23960119743450514,3.809776544570923,sigmoid
7,0.6975,0.2241339289221173,3.824716329574585,sigmoid
8,0.7147,0.2124569563448379,3.9856181144714355,sigmoid
9,0.7278,0.20332894334371956,4.0678253173828125,sigmoid
10,0.7344,0.19640621723004015,3.900858163833618,sigmoid
