epoch,acc,loss,time,model
0,0.9364,0.21199556251855078,3.368197202682495,softmax_relu
1,0.9491,0.16669852853942752,3.3567237854003906,softmax_relu
2,0.9593,0.1350011512125381,3.3416850566864014,softmax_relu
3,0.963,0.12698416796891232,3.3532121181488037,softmax_relu
4,0.9608,0.133318371420601,3.4192755222320557,softmax_relu
5,0.9705,0.10360534450414847,3.4088847637176514,softmax_relu
6,0.9687,0.09952862761361707,3.4159209728240967,softmax_relu
7,0.9693,0.100365072246884,3.409233331680298,softmax_relu
8,0.9677,0.10506098342532641,3.4822301864624023,softmax_relu
9,0.9724,0.0968446551651752,3.3627753257751465,softmax_relu
10,0.9718,0.09997367011111384,3.334317445755005,softmax_relu
0,0.9358,0.20513280746175175,3.36063814163208,softmax_relu
1,0.9607,0.12934947268119987,3.370432138442993,softmax_relu
2,0.9606,0.1277565646597994,3.376178741455078,softmax_relu
3,0.9669,0.10934029443796478,3.3599750995635986,softmax_relu
4,0.9671,0.1016290209824457,3.327948808670044,softmax_relu
5,0.9712,0.09123021311646569,3.364130973815918,softmax_relu
6,0.9697,0.10213406772144877,3.3767197132110596,softmax_relu
7,0.9724,0.09409632424265044,3.3454248905181885,softmax_relu
8,0.972,0.09080478962300093,3.338615655899048,softmax_relu
9,0.9723,0.09386787105053193,3.3675057888031006,softmax_relu
10,0.9753,0.09072101062205892,3.3591482639312744,softmax_relu
0,0.943,0.19535640374437507,3.3559958934783936,softmax_relu
1,0.9546,0.14566337416096928,3.3633697032928467,softmax_relu
2,0.9626,0.12062142305184659,3.356003761291504,softmax_relu
3,0.9673,0.10743401161014142,3.363053560256958,softmax_relu
4,0.9714,0.0966795837350944,3.3642983436584473,softmax_relu
5,0.966,0.11569899280968068,3.3626458644866943,softmax_relu
6,0.9705,0.09797840567438668,3.333449602127075,softmax_relu
7,0.9718,0.10544437668756766,3.363990068435669,softmax_relu
8,0.9718,0.09583010717321316,3.3624610900878906,softmax_relu
9,0.9695,0.09910979625195733,3.3543381690979004,softmax_relu
10,0.9728,0.09401334897674188,3.3414745330810547,softmax_relu
0,0.9398,0.19646513399636978,3.3548007011413574,softmax_relu
1,0.9498,0.17065292425602924,3.3661935329437256,softmax_relu
2,0.9589,0.13205923868854333,3.368988513946533,softmax_relu
3,0.9656,0.11619049179787555,3.3501436710357666,softmax_relu
4,0.9665,0.10703106558001323,3.3496768474578857,softmax_relu
5,0.9697,0.09969238534634572,3.37241268157959,softmax_relu
6,0.9692,0.10109755668327426,3.371875524520874,softmax_relu
7,0.9701,0.09772080310171473,3.3590872287750244,softmax_relu
8,0.9695,0.10073062266151663,3.3777034282684326,softmax_relu
9,0.9708,0.09948917273807874,3.371351480484009,softmax_relu
10,0.9723,0.09227449604190427,3.3702352046966553,softmax_relu
0,0.935,0.21173892690008297,3.3615334033966064,softmax_relu
1,0.9521,0.15188406004355004,3.363419771194458,softmax_relu
2,0.9625,0.11751702708493715,3.3512160778045654,softmax_relu
3,0.9656,0.11206547709833214,3.357846975326538,softmax_relu
4,0.9643,0.11385600574588968,3.3495113849639893,softmax_relu
5,0.969,0.09859358274310141,3.3610706329345703,softmax_relu
6,0.969,0.10065833186431954,3.348440647125244,softmax_relu
7,0.9727,0.08895754477367579,3.3564348220825195,softmax_relu
8,0.97,0.09929126597531325,3.3690826892852783,softmax_relu
9,0.9698,0.09779663287445135,3.3635997772216797,softmax_relu
10,0.9687,0.10186495555050241,3.353349447250366,softmax_relu
0,0.9378,0.21044295610655295,3.3435285091400146,softmax_relu
1,0.9491,0.16825978063042354,3.3484270572662354,softmax_relu
2,0.9572,0.13668707506834304,3.3599398136138916,softmax_relu
3,0.9637,0.12278117887743117,3.339175224304199,softmax_relu
4,0.9614,0.12616482132636075,3.352229118347168,softmax_relu
5,0.9654,0.12014386325611269,3.3733105659484863,softmax_relu
6,0.9655,0.11361695215244269,3.384218215942383,softmax_relu
7,0.9702,0.1010908209501274,3.348543167114258,softmax_relu
8,0.9708,0.09553373007223441,3.3575761318206787,softmax_relu
9,0.9682,0.10467563841081487,3.4088973999023438,softmax_relu
10,0.9728,0.09911024424114681,3.3666887283325195,softmax_relu
0,0.9358,0.2057348898193468,3.3651533126831055,softmax_relu
1,0.9561,0.14074823222986735,3.3465640544891357,softmax_relu
2,0.9606,0.12092710749910461,3.354994773864746,softmax_relu
3,0.967,0.1004613591612842,3.362333059310913,softmax_relu
4,0.9679,0.1006678732850691,3.3576595783233643,softmax_relu
