epoch,acc,loss,model
0,0.1573,0.4659139694703581,relu
1,0.2737,0.3797616073159517,relu
2,0.2766,0.37296958662509516,relu
3,0.2774,0.37051370725157784,relu
4,0.278,0.3689142829461354,relu
5,0.2775,0.36885133153307487,relu
6,0.2778,0.36899002351085786,relu
7,0.2789,0.36888419058819294,relu
8,0.2788,0.3672931460270473,relu
9,0.2793,0.36711178952224616,relu
10,0.2789,0.3666700501263428,relu
0,0.286,0.42519001351834185,relu
1,0.2899,0.41207066503013995,relu
2,0.2911,0.41077128758893566,relu
3,0.2893,0.41577407702039765,relu
4,0.29,0.4087156616716732,relu
5,0.4044,0.3551805805873958,relu
6,0.4941,0.3156080793591326,relu
7,0.4959,0.3128563140681409,relu
8,0.4967,0.312337707961471,relu
9,0.4989,0.31018973374225306,relu
10,0.4978,0.3091853057759703,relu
0,0.098,0.4550479123630297,relu
1,0.098,0.45752294008292,relu
2,0.098,0.4540471944158323,relu
3,0.098,0.4535071875618392,relu
4,0.1121,0.4498681855138775,relu
5,0.1926,0.41405608970446045,relu
6,0.2846,0.37150066028097717,relu
7,0.3705,0.3407609656895536,relu
8,0.3819,0.3240582696946698,relu
9,0.384,0.3203867179785464,relu
10,0.3835,0.32183095026958275,relu
0,0.3655,0.38246652127614683,relu
1,0.4617,0.33170404388514696,relu
2,0.472,0.32661606294429996,relu
3,0.4765,0.3220488620651901,relu
4,0.4788,0.32051231239702027,relu
5,0.5701,0.279842012571783,relu
6,0.5751,0.2738826292051358,relu
7,0.576,0.2715419042803611,relu
8,0.5771,0.2709786976511373,relu
9,0.5781,0.26954419341161207,relu
10,0.573,0.2689897363408877,relu
0,0.1955,0.4099787026930248,relu
1,0.1965,0.4087452390513238,relu
2,0.29,0.37098935973731534,relu
3,0.3875,0.3255873157787223,relu
4,0.3904,0.31899482472513574,relu
5,0.3905,0.3191453214386003,relu
6,0.3931,0.3153779348114766,relu
7,0.3943,0.3156295313576512,relu
8,0.3948,0.3140703954582664,relu
9,0.4634,0.28935803951462813,relu
10,0.4805,0.2784174809207923,relu
0,0.3413,0.39023031599967034,relu
1,0.362,0.3774014253892731,relu
2,0.3675,0.37259639237152803,relu
3,0.7453,0.19083650792976103,relu
4,0.7676,0.14020267813001494,relu
5,0.7734,0.13524214274865845,relu
6,0.7744,0.1314344938435166,relu
7,0.7758,0.12928855075837412,relu
8,0.7778,0.12786826092849704,relu
9,0.7773,0.12746365918235905,relu
10,0.7783,0.12636773547881455,relu
0,0.28,0.4212567951262072,relu
1,0.2876,0.37116499782569223,relu
2,0.2899,0.36805804242158435,relu
3,0.2911,0.3659892574336468,relu
4,0.4034,0.310876293856135,relu
5,0.4043,0.3087395528181898,relu
6,0.4035,0.3082140263092925,relu
7,0.4054,0.30716638005782515,relu
8,0.4053,0.30651896501840525,relu
9,0.5019,0.26493747311133686,relu
10,0.5024,0.26113792029859595,relu
0,0.3033,0.4017425417548628,relu
1,0.3036,0.4000173178609631,relu
2,0.3985,0.35677844189853286,relu
3,0.4026,0.3545785747474014,relu
4,0.4033,0.35352139778833086,relu
5,0.4034,0.352976381086134,relu
6,0.4052,0.3519246345997886,relu
7,0.4051,0.35268796363073174,relu
8,0.4055,0.3512582252212984,relu
9,0.4058,0.3508791845691158,relu
10,0.405,0.35099183107723386,relu
0,0.2927,0.3758331515371658,relu
1,0.3668,0.3423735587983523,relu
2,0.3745,0.3278689800586853,relu
3,0.3774,0.3248841975519266,relu
4,0.3784,0.3228842788833818,relu
5,0.3792,0.321926042773767,relu
6,0.3795,0.3211278306865764,relu
7,0.38,0.3208139926530077,relu
8,0.3801,0.3200959587400439,relu
9,0.3792,0.3194427086922913,relu
10,0.3797,0.31913595716652104,relu
0,0.3458,0.38673425228540736,relu
1,0.454,0.3375646981158477,relu
2,0.5478,0.28666740750989417,relu
3,0.5672,0.23725987044600694,relu
4,0.5707,0.23370762311243903,relu
5,0.5718,0.22996205314850848,relu
6,0.5743,0.22875415649139064,relu
7,0.5738,0.22795642147877843,relu
8,0.5735,0.22747624324300605,relu
9,0.5758,0.22665798521861247,relu
10,0.5755,0.22561619199333885,relu
